2026-04-23 14:37:47,753 | INFO | engine | Started signal engine for pairs: EURUSD, GBPUSD, USDJPY, GBPJPY
2026-04-23 14:37:49,645 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17742
2026-04-23 14:37:51,071 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 14:37:52,893 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.663
2026-04-23 14:37:54,188 | INFO | core.signal_engine | [GBPJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=NEUTRAL, midpoint=214.8455
2026-04-23 14:37:54,189 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 14:42:49,816 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17735
2026-04-23 14:42:51,972 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 14:42:53,472 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.663
2026-04-23 14:42:54,893 | INFO | core.signal_engine | [GBPJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=NEUTRAL, midpoint=214.8455
2026-04-23 14:42:54,893 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 14:47:48,958 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17735
2026-04-23 14:47:50,634 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=49, threshold=70, htf=0, liquidity=2, zone=20, news=12, session=15
2026-04-23 14:47:52,005 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 14:47:53,639 | INFO | core.signal_engine | [GBPJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=NEUTRAL, midpoint=214.8615
2026-04-23 14:47:53,639 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 14:52:49,052 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17735
2026-04-23 14:52:50,900 | INFO | core.signal_engine | [GBPUSD] filtered at scoring: score below threshold | score=44, threshold=70, htf=0, liquidity=2, zone=20, news=7, session=15
2026-04-23 14:52:52,021 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 14:52:53,465 | INFO | core.signal_engine | [GBPJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=NEUTRAL, midpoint=214.8615
2026-04-23 14:52:53,465 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 14:57:49,020 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
